Ecoregion,Site,Latitude,Longitude,Total_Abun,Total_area,TD_q0,TD_q1,TD_q2,FD_q0,SES.FD_q0,p.FD.q0,FD_q1,SES.FD_q1,p.FD.q1,FD_q2,SES.FD_q2,p.FD.q2,PD_q0,SES.PD_q0,p.PD.q0,PD_q1,SES.PD_q1,p.PD.q1,PD_q2,SES.PD_q2,p.PD.q2,BO_sstmax,BO_sstmean,BO_sstmin,BO_sstrange,BO2_nitratemax_ss,BO2_nitratemean_ss,BO2_nitratemin_ss,BO2_nitraterange_ss,BO2_phosphatemax_ss,BO2_phosphatemean_ss,BO2_phosphatemin_ss,BO2_phosphaterange_ss,npp_mean,npp_min,npp_max,npp_sd,Shelf.km2,Abutting_regions,Dst2continent,Connec_200m,Connec_30m,Depth,pop.den.50,clust.12km,richness.res,diversity.q1.res,diversity.q2.res,FD_q0.res,FD_q1.res,FD_q2.res,PD_q0.res,PD_q1.res,PD_q2.res
Gulf of Guinea Islands, Bahía das Agulhas 2,1.59796111,7.32583333,56,200,8,5.084124698,4.159151194,2.936877635,-0.706339232,Random,3.030144655,1.26495226,Overdispersed (75%),2.942761864,1.518170572,Overdispersed (75%),3.603941144,-1.160362423,Random,2.626267339,0.22810626,Random,2.3949924,0.274477863,Random,29.22834189,27.74298757,25.95530935,3.273032289,1.570208484,0.307732435,0.000859297,1.569349202,0.114998504,0.017105022,1.42E-05,0.114984299,956.8174731,712.5386759,1598.136719,246.27364,2080.893,2,229.6844678,107051,47731,21,7780,1,0.253880815,0.256014239,0.252859274,-0.147050442,1.528194621,1.725581037,-0.360250786,0.321357361,0.315323767
Gulf of Guinea Islands,Bahía das Aguhas,1.60783333,7.35916667,103,200,6,4.235953766,3.782174688,3.962160969,1.102966414,Overdispersed (75%),3.291846697,1.899721215,Overdispersed (75%),3.176291964,2.035688441,Overdispersed (75%),3.863374775,0.537807302,Random,2.840081898,0.904865078,Random,2.657831385,1.030993132,Overdispersed (75%),29.28084683,27.80260856,26.0551277,3.225719731,1.633669124,0.328710227,0.000998969,1.632670156,0.112397056,0.016204652,1.42E-05,0.112382896,950.8265924,692.0946655,1568.876709,233.6860353,2080.893,2,226.2791679,107049,47727,22,7780,1,-0.136320072,0.075658298,0.161965807,1.771314212,2.143371404,2.239795146,1.245511769,1.064212747,1.142711099
Gulf of Guinea Islands,Bom bom ,1.69732222,7.405,361,300,17,6.080354902,4.649174129,4.025968362,-0.862611826,Overdispersed (75%),1.70840475,-1.183676767,Random,1.620994005,-1.001981166,Random,7.855837207,0.746741966,Overdispersed (75%),2.715018341,-0.633593472,Random,2.198071294,-0.784753373,Random,29.39880205,27.89028503,26.1273766,3.271424985,1.714237336,0.356307448,0.001006075,1.713231311,0.109176291,0.014897718,1.42E-05,0.109162072,874.9125374,673.995992,1284.573842,175.4013408,2080.893,2,223.6401669,106938,47737,3,7780,2,0.520073718,0.314748935,0.297433062,-0.276026232,-0.79423584,-0.713619155,1.147548075,-0.484404698,-0.639308504
Gulf of Guinea Islands,Bonet Joqué,1.513175,7.42416667,217,200,10,3.164875833,2.003360987,2.625833698,-1.534127125,Random,1.946288056,-0.504951797,Random,1.683525857,-0.666776123,Random,4.397945103,-0.219633946,Random,2.976510003,0.530672658,Random,2.642058564,0.510159387,Random,29.19126837,27.66611772,25.74995894,3.441309645,1.609440641,0.332586673,0.001016041,1.608424582,0.113167636,0.016156536,1.40E-05,0.113153604,942.9288555,662.504659,1439.363363,199.1213755,2080.893,2,217.1729504,107078,47563,12,7780,3,0.144729292,-0.190400366,-0.32167966,-0.988999517,-0.266236269,-0.403350037,0.230938746,0.658731494,0.591323087
Gulf of Guinea Islands,Focinho de Cao,1.61158611,7.33361111,36,200,3,2.630247579,2.339350181,2.313534729,0.302482088,Underdispersed (75%),1.990196817,0.733492605,Random,1.854352029,0.686045842,Random,1.92507114,0.505768692,Underdispersed (75%),1.920818847,1.328977341,Random,1.917188758,1.546791015,Random,29.22201922,27.76144019,26.02185514,3.200164052,1.592359139,0.314187849,0.000907064,1.591452093,0.114227072,0.016801068,1.42E-05,0.114212882,956.8174731,712.5386759,1598.136719,246.27364,2080.893,2,229.1484534,107038,47734,16,7780,1,-0.457243122,-0.23864965,-0.171345225,0.974351766,0.941469869,0.798210309,1.463445025,1.36869343,1.490809066
Gulf of Guinea Islands,Mosteiro,1.68631944,7.47416667,295,200,20,6.721633836,4.337154249,5.427066209,0.195984509,Overdispersed (95%),3.317167266,0.61457584,Overdispersed (75%),2.935254817,0.568931862,Overdispersed (75%),7.099968155,-0.126561737,Overdispersed (75%),3.64703894,0.059691624,Overdispersed (75%),3.023644027,0.024635482,Overdispersed (75%),29.34467256,27.96460284,26.05326425,3.291408355,1.739876284,0.371414573,0.000887284,1.738989022,0.108559197,0.014176861,1.43E-05,0.108544929,902.4194809,669.692159,1288.603831,184.3848558,2080.893,2,215.8855419,106958,47714,8,7780,2,0.720713479,0.411567036,0.24564283,0.796683562,0.975131198,0.853603835,0.291625178,0.231453658,0.153978229
Gulf of Guinea Islands,Mosteiros Este,1.68149444,7.47333333,1841,200,9,3.991935752,3.304168913,3.946639461,0.424393451,Overdispersed (75%),2.916053208,1.609034798,Overdispersed (75%),2.777747587,1.868506683,Overdispersed (75%),4.163113454,-0.089570662,Random,2.239676105,0.210394428,Random,2.037257337,0.303344506,Random,29.33417655,27.95481855,26.0503677,3.283808961,1.735890881,0.370391853,0.000888279,1.735002622,0.108704002,0.014224568,1.43E-05,0.108689744,902.4194809,669.692159,1288.603831,184.3848558,2080.893,2,215.8360382,106961,47708,13,7780,2,-0.443479184,-0.116519143,-0.015121142,0.92459955,2.094513141,2.314050361,-0.191070773,0.34615328,0.445138504
Gulf of Guinea Islands,Mosteiros Oeste,1.68861111,7.47416667,169,200,14,7.224154878,4.874722649,4.042191762,-0.325297223,Overdispersed (75%),2.848897255,0.368856068,Overdispersed (75%),2.435332626,0.136519089,Overdispersed (75%),6.346247708,0.141228919,Overdispersed (75%),4.290047744,1.058130068,Overdispersed (75%),3.645995215,0.851120639,Overdispersed (75%),29.35052895,27.97015839,26.05539051,3.295138458,1.741572938,0.371814011,0.000886699,1.740686263,0.108501435,0.014157744,1.43E-05,0.108487161,902.4194809,669.692159,1288.603831,184.3848558,2080.893,2,215.9520615,106960,47714,9,7780,2,0.51232363,0.502487691,0.355457712,0.240967469,0.667857381,0.425868226,0.706262844,1.092319425,0.905108212
Gulf of Guinea Islands,Pedra Adalio,1.69797222,7.42472222,3138,700,27,5.957475312,3.317366117,6.748940742,1.240124893,Overdispersed (95%),3.002746918,0.478361381,Overdispersed (75%),2.612251914,0.380578209,Overdispersed (75%),9.523493272,1.132811258,Overdispersed (75%),2.879482087,-0.307352327,Random,2.333870242,-0.347616583,Random,29.40660145,27.94390719,26.11464264,3.291958478,1.723847294,0.361266753,0.000959071,1.722888266,0.109014871,0.014651615,1.42E-05,0.10900062,874.9125374,673.995992,1284.573842,175.4013408,2080.893,2,221.5377071,106942,47731,15,7780,2,0.463025527,0.188683651,-0.025371199,1.666970223,0.90814173,0.91015151,0.947608122,-0.081457153,-0.063173311
Gulf of Guinea Islands,Pedra Galé,1.72623611,7.38277778,884,200,9,1.851352712,1.371504791,5.742485935,2.0840757,Overdispersed (95%),1.660639235,-0.685369275,Random,1.351245365,-0.856383706,Random,4.100052701,-0.650058476,Random,1.157881392,-1.284745761,Underdispersed (75%),1.081946982,-1.197189986,Underdispersed (75%),29.41755719,27.82801462,26.11566275,3.301893888,1.713505642,0.35371907,0.001070753,1.712434926,0.108780179,0.01504932,1.42E-05,0.108765989,873.0204254,668.2134908,1278.690501,165.7634903,2080.893,2,226.8706835,106904,47732,31,7780,2,-0.274179695,-0.639709335,-0.592875383,2.53497849,-0.289964266,-0.489142053,-0.520841563,-1.098872437,-1.058061988
